iter,fitness,time,XPL,XPT,DIV
0,23084.0,0.098,100.0,0.0,0.49
1,17543.0,0.654,94.29,5.71,0.462
2,12535.0,0.785,82.04,17.96,0.402
3,9474.0,0.861,68.78,31.22,0.337
4,7175.0,1.063,57.14,42.86,0.28
5,5441.0,1.305,47.55,52.45,0.233
6,4003.0,1.608,40.0,60.0,0.196
7,2873.0,1.789,33.47,66.53,0.164
8,2380.0,2.227,27.55,72.45,0.135
9,1585.0,2.297,22.65,77.35,0.111
10,1292.0,1.984,18.78,81.22,0.092
11,1073.0,2.505,15.71,84.29,0.077
12,999.0,1.964,13.27,86.73,0.065
13,809.0,2.03,11.43,88.57,0.056
14,799.0,2.289,9.8,90.2,0.048
15,701.0,2.054,8.57,91.43,0.042
16,632.0,2.275,7.55,92.45,0.037
17,594.0,1.996,6.94,93.06,0.034
18,590.0,2.258,5.92,94.08,0.029
19,574.0,3.041,5.71,94.29,0.028
20,559.0,2.196,5.1,94.9,0.025
21,542.0,2.243,4.69,95.31,0.023
22,541.0,2.034,4.69,95.31,0.023
23,541.0,2.076,4.49,95.51,0.022
24,541.0,2.253,4.29,95.71,0.021
25,541.0,2.113,4.08,95.92,0.02
26,539.0,2.398,3.88,96.12,0.019
27,539.0,1.979,3.88,96.12,0.019
28,539.0,2.666,3.88,96.12,0.019
29,538.0,1.947,3.67,96.33,0.018
30,532.0,2.021,3.47,96.53,0.017
31,530.0,2.042,3.27,96.73,0.016
32,529.0,2.101,3.06,96.94,0.015
33,529.0,2.257,3.06,96.94,0.015
34,529.0,2.041,3.06,96.94,0.015
35,529.0,2.375,3.06,96.94,0.015
36,529.0,2.03,2.86,97.14,0.014
37,529.0,2.156,2.86,97.14,0.014
38,529.0,2.297,2.86,97.14,0.014
39,529.0,2.024,2.65,97.35,0.013
40,529.0,2.439,2.65,97.35,0.013
41,529.0,1.994,2.45,97.55,0.012
42,529.0,2.03,2.45,97.55,0.012
43,529.0,2.317,2.45,97.55,0.012
44,529.0,2.208,2.45,97.55,0.012
45,529.0,2.063,2.45,97.55,0.012
46,529.0,1.969,2.24,97.76,0.011
47,529.0,2.046,2.24,97.76,0.011
48,524.0,2.322,2.24,97.76,0.011
49,524.0,2.263,2.24,97.76,0.011
50,524.0,2.038,2.24,97.76,0.011
51,524.0,2.475,2.04,97.96,0.01
52,524.0,2.284,2.04,97.96,0.01
53,524.0,2.18,2.04,97.96,0.01
54,524.0,2.03,2.04,97.96,0.01
55,524.0,1.971,2.04,97.96,0.01
56,524.0,2.428,2.04,97.96,0.01
57,524.0,1.963,2.04,97.96,0.01
58,524.0,1.968,2.04,97.96,0.01
59,524.0,2.822,2.04,97.96,0.01
60,524.0,2.116,1.84,98.16,0.009
61,524.0,3.287,1.84,98.16,0.009
62,524.0,2.646,2.04,97.96,0.01
63,524.0,2.358,1.84,98.16,0.009
